character_id,name,secret_identity,alignment_id,eye_color_id,hair_color_id,sex_id,gsm_id,alive,appearances,universe_id,first_appearance_year
1,Batman (Bruce Wayne),Secret Identity,2,5,3,5,3,Living Characters,3093.0,2,1939.0
2,Superman (Clark Kent),Secret Identity,2,5,3,5,3,Living Characters,2496.0,2,1986.0
3,Green Lantern (Hal Jordan),Secret Identity,2,6,7,5,3,Living Characters,1565.0,2,1959.0
4,James Gordon (New Earth),Public Identity,2,6,27,5,3,Living Characters,1316.0,2,1987.0
5,Richard Grayson (New Earth),Secret Identity,2,5,3,5,3,Living Characters,1237.0,2,1940.0
6,Wonder Woman (Diana Prince),Public Identity,2,5,3,2,3,Living Characters,1231.0,2,1941.0
7,Aquaman (Arthur Curry),Public Identity,2,5,4,5,3,Living Characters,1121.0,2,1941.0
8,Timothy Drake (New Earth),Secret Identity,2,5,3,5,3,Living Characters,1095.0,2,1989.0
9,Dinah Laurel Lance (New Earth),Public Identity,2,5,4,2,3,Living Characters,1075.0,2,1969.0
10,Flash (Barry Allen),Secret Identity,2,5,4,5,3,Living Characters,1028.0,2,1956.0
11,GenderTest,Secret Identity,2,5,4,2,3,Living Characters,1028.0,2,1956.0
12,Alan Scott (New Earth),Secret Identity,2,5,4,5,3,Deceased Characters,969.0,2,1940.0
13,Barbara Gordon (New Earth),Secret Identity,2,5,20,2,3,Living Characters,951.0,2,1967.0
14,Jason Garrick (New Earth),Public Identity,2,5,7,5,3,Living Characters,951.0,2,1940.0
15,Lois Lane (New Earth),Public Identity,2,5,3,2,3,Living Characters,934.0,2,1938.0
16,Alfred Pennyworth (New Earth),Public Identity,2,5,3,5,3,Living Characters,930.0,2,1943.0
17,Carter Hall (New Earth),Secret Identity,2,5,7,5,3,Living Characters,803.0,2,1940.0
18,Kyle Rayner (New Earth),Secret Identity,2,9,3,5,3,Living Characters,716.0,2,1994.0
19,Raymond Palmer (New Earth),Public Identity,2,6,7,5,3,Living Characters,706.0,2,1961.0
20,Alexander Luthor (New Earth),Public Identity,1,9,7,5,3,Living Characters,677.0,2,1986.0
21,Roy Harper (New Earth),Secret Identity,3,9,20,5,3,Living Characters,654.0,2,1941.0
22,Kara Zor-L (Earth-Two),Secret Identity,2,5,4,2,3,Living Characters,635.0,2,1976.0
23,Ted Grant (New Earth),Secret Identity,1,5,3,5,3,Living Characters,605.0,2,1942.0
24,Garfield Logan (New Earth),Public Identity,2,9,10,5,3,Living Characters,595.0,2,1965.0
25,Guy Gardner (New Earth),Public Identity,2,5,20,5,3,Living Characters,593.0,2,1968.0
26,Victor Stone (New Earth),Public Identity,2,6,3,5,3,Living Characters,584.0,2,1980.0
27,Kon-El (New Earth),Secret Identity,2,5,3,5,3,Living Characters,560.0,2,1993.0
28,Ralph Dibny (New Earth),Public Identity,1,5,20,5,3,Deceased Characters,558.0,2,1960.0
29,James Olsen (New Earth),Public Identity,2,9,20,5,3,Living Characters,557.0,2,1986.0
30,John Stewart (New Earth),Public Identity,2,6,3,5,3,Living Characters,549.0,2,1971.0
31,Joker (New Earth),Secret Identity,1,9,10,5,3,Living Characters,517.0,2,1940.0
